clique	versions
402	[344565, 81419, 135246, 154127, 218513, 221456, 234048, 68220]
9896	[344566, 345611, 346423, 346787, 348005, 348024, 348093, 349399, 349908, 349926, 350830, 339257, 339824, 341257, 341915, 342194, 342660, 362915, 363844, 366371, 367819, 353380, 354171, 354572, 355434, 368813, 357162, 357776, 358168, 358705, 79952, 81129, 81387, 81650, 104185, 105267, 107013, 107757, 108185, 108488, 110580, 110665, 116256, 118610, 119603, 120457, 69854, 124388, 124734, 139230, 124978, 127455, 127858, 129487, 129509, 132804, 133078, 134313, 135181, 135470, 136638, 137937, 140749, 141595, 143031, 144486, 145974, 146268, 147089, 149209, 150343, 151361, 151665, 174129, 175142, 175193, 179564, 179651, 182542, 185497, 154633, 154860, 154979, 157933, 158140, 159291, 160004, 162588, 163785, 167093, 167290, 167416, 258023, 277281, 261667, 266383, 266974, 268087, 271044, 271583, 271989, 273882, 274316, 274685, 280422, 281522, 283810, 285159, 285710, 287840, 299063, 299829, 300222, 291534, 292227, 292314, 296127, 296497, 296517, 288959, 289025, 289075, 313391, 316710, 317811, 305282, 305972, 306292, 306943, 319089, 321404, 321907, 322270, 322887, 323343, 324224, 325359, 325545, 327121, 327683, 328773, 309615, 309902, 310614, 312635, 312652, 332279, 333632, 333850, 335612, 76866, 56288, 56898, 84685, 86978, 87110, 87630, 217007, 218434, 189810, 237694, 237916, 238375, 241060, 241808, 242145, 242630, 220695, 220804, 220964, 222816, 229564, 229717, 230626, 231008, 231649, 232604, 233642, 235339, 235426, 192472, 243615, 245283, 245471, 245776, 246174, 246608, 247291, 247300, 247591, 192734, 193181, 194492, 195739, 197754, 200713, 202871, 203293, 205973, 206683, 206991, 207006, 208354, 211435, 211946, 250763, 213033, 213402, 214382, 215597, 64623, 65110, 65462, 66979, 59771, 60947, 61157, 92330, 92708, 93880, 96593, 97368, 97738, 99175, 100721, 100817, 101177, 102198, 103461, 71251, 72122, 75315, 76087]
35156	[344567, 337586, 364569, 125346, 169965, 238910, 240926]
38578	[344568, 346009, 363499, 353910, 110155, 119951, 137443, 141726, 149306, 176777, 179182, 182777, 155421, 160712, 263679, 267593, 272449, 281006, 298327, 306431, 306598, 334054, 223067, 223261, 224339, 225534, 234761, 245859, 195340, 206859, 254880, 88326, 90611, 60406, 93863, 101999]
5373	[344569, 82770]
35589	[344570, 367383, 368523, 124356, 174259, 177302, 177422, 156403, 262675, 315274, 322494, 219340, 228106, 246730, 208148, 214611, 253685, 253837, 88631, 65433, 66282, 96867, 100988]
19395	[344571, 344657, 357368, 359112, 110641, 118445, 118516, 121285, 123641, 139714, 125114, 128019, 149302, 182712, 154561, 155562, 278021, 281483, 285629, 307884, 312496, 77002, 218278, 228956, 230504, 195159, 202271, 252198, 67365, 97621, 70901, 73832, 75261]
31162	[344572, 319696]
18034	[344573, 118600, 143778, 315735, 251011]
21007	[344575, 122635, 162532, 249628]
35166	[344576, 336990, 342768, 354723, 171605, 174157, 181132, 262776, 320705, 87205, 217888, 202592, 92234]
41304	[344577, 113519, 117066, 168310, 299262, 304206, 84444]
30871	[344578, 106033]
37270	[344579, 348704, 336917, 362258, 109666, 111466, 127141, 143138, 149388, 175057, 178773, 152816, 163368, 163539, 272343, 281592, 284011, 319159, 333706, 77607, 85885, 232615, 236023, 191537, 203739, 89341, 71911]
4115	[344580, 338890, 238135]
32681	[344581, 350001, 352111, 363172, 355171, 361309, 80559, 81779, 81930, 106620, 109497, 111444, 114269, 125358, 130950, 132234, 133632, 135239, 141330, 149957, 151138, 174946, 187815, 155880, 158986, 160191, 160523, 161168, 161181, 275961, 278852, 267211, 268339, 272882, 286799, 295166, 313307, 313482, 304065, 320530, 320782, 322271, 327451, 308278, 310664, 331245, 333806, 55233, 84364, 84574, 86026, 190443, 238246, 238317, 240746, 219405, 225044, 234966, 247494, 194771, 248866, 199077, 209964, 256823, 92285, 96323, 101494, 71672, 72647, 73375]
14484	[344582, 349627, 369348, 356770, 361879, 105757, 106335, 116001, 124842, 136613, 137682, 141701, 145307, 148557, 171641, 173796, 187266, 160505, 163055, 164306, 278092, 279089, 279822, 264015, 294990, 296728, 289094, 313605, 329936, 333224, 333617, 189459, 223723, 191913, 247096, 193302, 103593]
32150	[344583, 345850, 346849, 348021, 349057, 349297, 349628, 349849, 351429, 336779, 338538, 338982, 339052, 341993, 342296, 362407, 355371, 355980, 369404, 356209, 356877, 357770, 358458, 360709, 361402, 361667, 80521, 81900, 61613, 62947, 63374, 64404, 108020, 108808, 108939, 109344, 111198, 111880, 112623, 114809, 114900, 115234, 115532, 115915, 120921, 121901, 124592, 139144, 139347, 125172, 126624, 130242, 130371, 130823, 132756, 135259, 135481, 136424, 138237, 140652, 142451, 143557, 145445, 146041, 146465, 147759, 150211, 151061, 167723, 168109, 170790, 171350, 171905, 172624, 173417, 174792, 176164, 176870, 185202, 185239, 186396, 187286, 187557, 188092, 188448, 153115, 153430, 155116, 161378, 163027, 164464, 164879, 165860, 166204, 257950, 261110, 261150, 279171, 279794, 262518, 263055, 265199, 265639, 267086, 267435, 268969, 269758, 271049, 272612, 272660, 274428, 274450, 281934, 282228, 284047, 287169, 291036, 294791, 295363, 295497, 290997, 313334, 316373, 303460, 304373, 304760, 305472, 307714, 319127, 322112, 323550, 324582, 326124, 326279, 327664, 328042, 329147, 329337, 329876, 309657, 310928, 311304, 312023, 331908, 332272, 332698, 334944, 55305, 84285, 86813, 217433, 218878, 188674, 189618, 237497, 237554, 237642, 240151, 240785, 242357, 220658, 222057, 222850, 225724, 227327, 229207, 229308, 230147, 230676, 232007, 190734, 191298, 244603, 244913, 247174, 247461, 194960, 196082, 197699, 201095, 204959, 204961, 204997, 207858, 209901, 210996, 211217, 212243, 212300, 251791, 212683, 214008, 214739, 252986, 253243, 256179, 257169, 89212, 90321, 90806, 90915, 67425, 68125, 68846, 57309, 57519, 57820, 58072, 58339, 61601, 96181, 97096, 98289, 101476, 101547, 102551, 102909, 103737, 71226, 71713, 71888, 75691, 76172, 76175, 76447]
29728	[344584, 85981]
11961	[344585, 81866, 121329, 129293, 134581, 186528, 155575, 156525, 275042, 296037, 296184, 237414, 200078, 251621, 61153, 74534]
6416	[344586, 337426, 342276, 358044, 106165, 139037, 127162, 183502, 184548, 263906, 265627, 268332, 311867, 76911, 84082, 222387, 226927, 246064, 207828, 212585, 257367, 65048, 70828]
28343	[344587, 344909, 345796, 346541, 347247, 347762, 337100, 337711, 338335, 339068, 339432, 339979, 341926, 364181, 367282, 369408, 369891, 357784, 358076, 360388, 360430, 361510, 362172, 80418, 80589, 81844, 61666, 62749, 104472, 104690, 104879, 105042, 105688, 108033, 108267, 108377, 113224, 114927, 115498, 116610, 118895, 119716, 70412, 124377, 124616, 138430, 138610, 139681, 125097, 125237, 125786, 126165, 127182, 128756, 128891, 128904, 129177, 133391, 135051, 135497, 136404, 136858, 137096, 137434, 137491, 137654, 140427, 141278, 141294, 141441, 142768, 143657, 143803, 144212, 144390, 147084, 147468, 148169, 149360, 150637, 150770, 167639, 170169, 175971, 178584, 181453, 181750, 183907, 184200, 184708, 185951, 186838, 187017, 187935, 152202, 152405, 153722, 154269, 155455, 155458, 155774, 155803, 156115, 156422, 156743, 158375, 159078, 159466, 160031, 163577, 163610, 163971, 164230, 164281, 164288, 166467, 167246, 257634, 257852, 259236, 259613, 259614, 260728, 261292, 276824, 277890, 279400, 261498, 262468, 264468, 265555, 265760, 266766, 274714, 275471, 281385, 283217, 283450, 284386, 287022, 288662, 288818, 300948, 301320, 291362, 291686, 292175, 293399, 293847, 295407, 295714, 295770, 298152, 289231, 314421, 314684, 315993, 317585, 317793, 302978, 303553, 303738, 304479, 306066, 306199, 306969, 320003, 322195, 322914, 323646, 323650, 323904, 324403, 324890, 325293, 328431, 307956, 308579, 310138, 310572, 310730, 310816, 311789, 312520, 331334, 334431, 334760, 334962, 77075, 55556, 56790, 56900, 56961, 82393, 82863, 83260, 83527, 83765, 86903, 217579, 218640, 190500, 237737, 238121, 238335, 239262, 239756, 240985, 241878, 242219, 242232, 224626, 225014, 226685, 227533, 229749, 229873, 230355, 231860, 233011, 234807, 235841, 236484, 191290, 192131, 192463, 242924, 243872, 245156, 245394, 245542, 245721, 246954, 246985, 247572, 248090, 248629, 192681, 193677, 196417, 196654, 250188, 200067, 200527, 200730, 202846, 205097, 205331, 206295, 208201, 208439, 208737, 209471, 209532, 210102, 210231, 210547, 211346, 212166, 214758, 254398, 88788, 88974, 89220, 64868, 65024, 66349, 67007, 68841, 68861, 69074, 78618, 57756, 58018, 59177, 60575, 94056, 94271, 94297, 95540, 95911, 96154, 96362, 96790, 96877, 98726, 100068, 100413, 103082, 73032, 73874, 74373, 74390]
15078	[344588, 128740, 289668, 302973, 333773, 201202]
23768	[344589, 345284, 363835, 366706, 353654, 80923, 105839, 108919, 116998, 119123, 121230, 121408, 141612, 144899, 167906, 177392, 185434, 154989, 166549, 263486, 264302, 301277, 294085, 294958, 295292, 289001, 319222, 320159, 321286, 327734, 328054, 312229, 85318, 217257, 218683, 189511, 226913, 230368, 233907, 233993, 234096, 201019, 208159, 214686, 88817, 78968, 93984, 99511, 99809, 100898]
31658	[344590, 351204, 81865, 148934, 263976, 272451, 316199, 316603, 193073, 66063]
13890	[344591, 368874]
33710	[344592, 352133, 341851, 363283, 364228, 360391, 360992, 80085, 140065, 127475, 142537, 143725, 147428, 149517, 151673, 174024, 177852, 183769, 185469, 161627, 259625, 262277, 271876, 280338, 281256, 282186, 322386, 325225, 329536, 76595, 84504, 86475, 234116, 234569, 192318, 245001, 245641, 203474, 208118, 250800, 213097, 90379, 92173, 64998, 66238, 69242, 79314, 58943, 59842, 98281, 71647, 73307, 75405]
29824	[344593, 349923, 337448, 366296, 354104, 361183, 125407, 132796, 134418, 135801, 137185, 143533, 143768, 143870, 150026, 170213, 172438, 172930, 177103, 180807, 153751, 158798, 160694, 162108, 164538, 259519, 277617, 268763, 272800, 281120, 301469, 290135, 302575, 318573, 77898, 56417, 82569, 218121, 240026, 240162, 240999, 222151, 226558, 230276, 190756, 248204, 200161, 202369, 90652, 68908, 96483, 101334]
714	[344594, 345445, 338752, 110097, 125245, 278452, 331290, 220937, 225501, 202097]
39470	[344595, 346868, 339968, 125588, 134924, 141655, 158868, 303759, 318556, 309968, 239302, 247584, 193950, 98377, 72796]
39922	[344596, 349906, 351559, 363428, 363494, 356957, 357351, 358739, 63729, 109211, 111290, 117935, 119364, 124079, 126109, 127615, 131871, 145884, 149559, 150436, 150579, 150904, 172368, 172569, 179289, 181070, 186472, 188115, 153697, 162637, 166755, 259594, 260878, 277914, 266601, 268171, 273080, 284877, 289743, 314375, 314553, 317897, 328189, 311774, 76899, 78227, 85494, 237811, 240446, 222204, 224316, 225886, 227764, 227818, 231014, 231247, 231317, 235788, 236527, 201692, 201811, 203752, 255122, 256755, 65607, 61125, 61518, 94374, 75245]
12507	[344597, 170784, 262431, 85088]
31392	[344598, 369852, 116953, 128266, 154780, 163747, 166761, 311142, 76939, 102167]
13130	[344599, 187003]
36521	[344602, 167864, 180282, 152404, 326837, 327988, 331098, 236027, 194777, 91766]
11599	[344603, 192185]
13346	[344604, 347056, 350961, 336916, 338999, 339675, 340410, 340755, 364247, 369351, 356791, 357504, 357829, 360961, 106468, 109433, 117364, 118851, 122872, 124852, 139644, 128379, 132864, 144526, 145775, 174487, 176372, 177247, 178071, 181025, 182850, 183899, 185931, 159772, 161614, 162332, 163034, 164406, 164447, 166567, 167071, 167588, 257707, 259049, 276047, 279835, 264250, 286197, 288167, 298845, 292899, 296433, 298239, 289559, 302811, 303662, 305323, 307180, 324435, 325990, 330228, 308517, 312124, 312961, 335591, 77695, 57125, 83362, 85205, 241441, 242530, 222385, 225545, 244747, 247469, 194691, 197493, 199335, 199816, 200626, 201920, 202880, 206416, 209830, 209949, 213955, 215142, 89936, 68211, 97250, 100376, 101776, 70595, 73127, 74261]
40667	[344606, 351772, 336191, 336352, 339856, 341528, 341863, 364331, 365490, 365930, 368113, 353090, 353318, 369006, 109514, 119657, 140217, 129162, 130966, 131917, 141234, 142546, 143546, 148886, 151833, 169384, 171274, 177090, 177730, 183582, 183800, 187130, 187455, 152340, 276177, 278798, 267947, 268639, 270023, 280717, 281128, 283247, 283331, 287139, 300599, 301025, 291580, 294354, 307080, 320128, 326022, 327363, 330077, 312700, 77697, 55402, 82577, 83422, 216943, 217482, 218357, 189995, 239482, 241567, 220303, 223909, 227360, 228177, 229941, 234616, 192160, 248544, 194879, 197372, 203443, 207573, 215176, 253051, 254990, 90506, 58856, 92528, 94999, 95279, 99189]
13750	[344607, 350838, 133665, 276690, 310887, 216458, 228647, 204272]
35634	[344608, 346203, 353352, 354242, 368680, 63058, 120070, 135172, 288650, 318058, 325052, 327657, 210719, 213817, 67707, 95149, 101445]
6330	[344609, 336759, 340182, 341280, 354689, 117235, 120955, 123772, 126381, 133861, 170980, 173257, 173569, 174004, 185879, 186183, 152080, 258973, 278901, 279516, 261932, 262521, 266430, 268845, 281175, 286076, 286179, 292792, 298681, 315410, 316003, 307288, 307447, 323151, 329434, 308005, 310749, 312904, 332136, 84039, 86732, 239045, 239760, 222965, 228740, 234387, 192327, 197815, 198817, 206419, 208182, 211231, 215143, 253824, 256371, 256869, 68453, 78955, 60010, 99002]
5068	[344610, 344617, 345590, 345673, 348109, 336524, 338444, 340321, 356226, 359690, 360562, 63558, 63684, 64355, 106759, 108301, 109076, 111442, 116737, 121908, 139793, 127220, 128530, 149286, 167954, 176688, 187272, 187387, 188468, 159554, 165922, 166736, 167190, 279553, 279761, 264574, 284574, 288085, 301062, 293753, 294481, 295939, 306233, 325721, 327883, 329175, 329904, 308586, 331803, 331979, 335981, 86244, 87781, 218262, 189171, 237412, 240369, 242409, 220876, 221515, 224330, 227624, 230898, 236533, 191469, 243526, 247033, 194051, 194098, 197242, 198775, 198779, 201465, 201661, 202427, 206820, 210206, 212874, 253078, 253811, 255407, 91710, 67733, 68083, 78885, 59144, 96478, 101196, 73864, 74399, 75430, 75486]
538	[344612, 130609, 132476, 187235, 260247, 262435, 316559, 303922, 216827, 189880, 208031, 91581, 66189]
38088	[344614, 337162, 364012, 365309, 105936, 107445, 131989, 134422, 173524, 182016, 184921, 158975, 263705, 297792, 315080, 318815, 322240, 77909, 200375]
14944	[344615, 117033, 168929, 187150, 276078, 284281, 325744, 333119, 243936, 199292, 91778]
39870	[344616, 191966, 255783]
18613	[344618, 369082, 116865, 120958, 270539, 315206, 315212, 317068, 311869, 193983, 69287, 95958, 102828]
35778	[344619, 184518, 260962, 262958, 294781, 85498, 198360]
18271	[344620, 295087]
19520	[344621, 349907, 339598, 340760, 365986, 361260, 82026, 138871, 131993, 144896, 151635, 182598, 300177, 300691, 309461, 310334, 334258, 334313, 86144, 231755, 247661, 208087]
30100	[344623, 364167, 360404, 79949, 129900, 131576, 146637, 149568, 170293, 182595, 183105, 157045, 163579, 164302, 165732, 258161, 276251, 276860, 272953, 292222, 315175, 317420, 304395, 305528, 323003, 323377, 308082, 78069, 218405, 237856, 225088, 225193, 225871, 234295, 201714, 91773, 64878, 66893]
39520	[344625, 258046, 311188]
38333	[344626, 346399, 336359, 338132, 341526, 365527, 354855, 359693, 106091, 116956, 128162, 137733, 138175, 142933, 145684, 146412, 146948, 151737, 167750, 168334, 170934, 174356, 178304, 183773, 186368, 186573, 188273, 156358, 161528, 164214, 166254, 260950, 277050, 261916, 273020, 273030, 291899, 296162, 296218, 314038, 314114, 323606, 331377, 332589, 335328, 189899, 238094, 241527, 242091, 220096, 225625, 244009, 247287, 248361, 196316, 196989, 210207, 256779, 66323, 78954, 57827, 58302, 60087, 96850, 71112, 72280, 74754, 76264]
7271	[344628, 346028, 357766, 104349, 128163, 137924, 146912, 149622, 178867, 179691, 153959, 269022, 270319, 271464, 273273, 281135, 282262, 300357, 332173, 334169, 238670, 228652, 191267, 192825, 251286, 88497, 93259, 97759]
24273	[344629, 336229, 364989, 123893, 125663, 169353, 158977, 161651, 260209, 265105, 314762, 222165, 225933, 226169, 235080, 247595, 192672, 204176, 205908, 88376, 67766, 58343, 92973]
8256	[344630, 351614, 336265, 364984, 361642, 138962, 186723, 272537, 275609, 189546, 215108, 64604, 102121, 103554]
30426	[344631, 347771, 340682, 367409, 79943, 104410, 140141, 131714, 172154, 175800, 185531, 265255, 274551, 284909, 286182, 286205, 301222, 292631, 316524, 306687, 320061, 320213, 309780, 236675, 231996, 232748, 235387, 236658, 198887, 252923, 90839, 91401, 66188, 68426, 95255, 96003, 99069, 100681, 75050]
24945	[344632, 346093, 342091, 364060, 352411, 356803, 105714, 119242, 123584, 139131, 126535, 128142, 132931, 135108, 148207, 182027, 182471, 158852, 257728, 268772, 275622, 281252, 283615, 289069, 318510, 310136, 332011, 332275, 84304, 240471, 222005, 224322, 233372, 194760, 209853, 254981, 88553, 90226, 57723, 60869, 95215]
18530	[344633, 82092, 171055]
8113	[344635, 350699, 341183, 154285, 293689, 323266, 76637, 87423, 221516, 247385, 196834, 79041]
7482	[344636, 338529, 340205, 367859, 368072, 353974, 356157, 358537, 134868, 140414, 184392, 165388, 269716, 295374, 327118, 335573, 55983, 216290, 240491, 220340, 222806, 212648, 65602, 57691, 94290, 99287, 72581, 75615]
3266	[344637, 179805, 157938, 293631, 211771]
39860	[344638, 349349, 336217, 340528, 340664, 340736, 340929, 368400, 356679, 358976, 359066, 360255, 111355, 113977, 122440, 139863, 131312, 132412, 137876, 140457, 147779, 169040, 169348, 169874, 170841, 171832, 175263, 182635, 182996, 183891, 188517, 154927, 154930, 159219, 163806, 165204, 258200, 259303, 278882, 262004, 262772, 263626, 266641, 267326, 268322, 269371, 272793, 273764, 275713, 282408, 285255, 301019, 291643, 291903, 292014, 293660, 290070, 305051, 306751, 306824, 323654, 324651, 326539, 330622, 307767, 309955, 310427, 313177, 332222, 332800, 332931, 82709, 85992, 86288, 86626, 216390, 216405, 236885, 237495, 222709, 228326, 229447, 246913, 198555, 199198, 201164, 205144, 207332, 210974, 211105, 212729, 212976, 215772, 253850, 255644, 89147, 91583, 65491, 66968, 60510, 61290, 93887, 94005, 94738, 96132, 96195, 100550, 100775, 100776, 101643, 102207, 74121, 74948]
36212	[344639, 63793, 183823, 281984, 190371, 228220, 194099, 205351, 212277, 74862]
29215	[344641, 279002, 298574, 322407]
23357	[344642, 368770, 81627, 105129, 267703, 274834, 275082, 322670, 190276, 240003, 197516, 89678, 67499]
40813	[344643, 292245, 314950]
25839	[344644, 144112]
30863	[344645, 143444, 148707, 171552, 187224, 276291, 263886, 264575, 301935, 304584, 323203, 330124, 77651, 219882, 226566, 246269, 251605]
32785	[344647, 132882, 179757]
2989	[344648, 63233, 110616, 176644, 310485, 312414, 73424]
17078	[344649, 366606, 126950]
10480	[344650, 287606]
21286	[344651, 345370, 345487, 345526, 338586, 340084, 340925, 342637, 362341, 364036, 365653, 352345, 352987, 355453, 358554, 360114, 79440, 80226, 80606, 62950, 104038, 110515, 110608, 111315, 111896, 112577, 119885, 121001, 121380, 127096, 132203, 136360, 142407, 144266, 144404, 146009, 146913, 150452, 169334, 170755, 173164, 176363, 176863, 183509, 184594, 188158, 153850, 158387, 163904, 165019, 261250, 277051, 264027, 264349, 269849, 284806, 287288, 301762, 292272, 294630, 297691, 317526, 307604, 318684, 324245, 325425, 329924, 308901, 310469, 335410, 76878, 77289, 84895, 86376, 217670, 188639, 189599, 220312, 221732, 223307, 226789, 229130, 235319, 236071, 190667, 246290, 248041, 194695, 249146, 205978, 210133, 211516, 253547, 88506, 89557, 89842, 91301, 67213, 61102, 93591, 95184, 95196, 102060, 102894, 102995, 71228, 74438, 76378]
13063	[344652, 347992, 340057, 363684, 364283, 368057, 79851, 107004, 109590, 110644, 111741, 112552, 113296, 116311, 132447, 141683, 168300, 168831, 172748, 173968, 175199, 187866, 188498, 157668, 257542, 261027, 279798, 261596, 269772, 282551, 288253, 288812, 300841, 295305, 302190, 306073, 327740, 312097, 56986, 82644, 83256, 221907, 223339, 226007, 227575, 232712, 234040, 243590, 199874, 204091, 208064, 209616, 254487, 66227, 78847, 97077, 97258, 75181, 75827, 76004]
33452	[344653, 230687, 245030]
27487	[344654, 217298, 103597]
25722	[344655, 265024, 190849, 96511]
15150	[344656, 336459, 341006, 354423, 110723, 110832, 124668, 167900, 216870, 229334, 234522, 248565]
15766	[344658, 120545]
718	[344659, 62552, 108422, 135850, 136489, 185857, 298139, 219191, 193414, 196993, 202084]
30085	[344660, 362497, 361646, 62681, 107989, 120277, 135968, 174106, 314486, 226701, 234267, 211024, 93352, 94972]
5256	[344661, 342638, 79750, 106962, 109712, 69936, 147547, 150695, 180828, 184016, 258078, 278563, 282791, 298684, 314075, 305749, 323564, 324170, 325788, 221441, 233929, 212244, 253212, 65610, 74659]
18766	[344662, 202394]
24896	[344663, 349597, 264893, 280023, 325922]
39996	[344665, 126010, 128716, 137357, 147467, 147610, 311010, 86883, 238444, 226957, 200946, 206795, 67571, 95020]
18799	[344666, 220460]
9096	[344667, 108340, 112208, 292557, 241336, 193508, 60920]
35619	[344668, 345200, 104717, 132512, 172628, 179119, 180017, 180912, 183614, 186401, 152824, 285490, 288807, 322060, 241042, 221676, 232124, 211602, 253195, 254404, 256358, 90093, 65319, 75562]
26866	[344669, 349332, 342115, 118471, 139269, 176388, 186101, 282574, 319350, 84101, 237323, 225035, 199578, 103742]
37247	[344670, 142382, 144588, 95829]
5250	[344671, 346363, 349797, 342663, 354130, 80692, 127363, 133011, 141189, 149690, 169518, 177208, 261588, 272250, 272524, 294415, 315841, 317187, 322870, 333104, 219311, 234196, 212914, 57766, 59419, 96475]
30983	[344674, 344731, 345190, 346229, 336299, 336972, 342563, 365519, 357447, 361507, 113763, 119864, 123354, 139439, 125359, 131482, 170111, 172594, 174055, 181842, 154686, 165849, 166217, 258199, 258999, 264271, 274072, 274686, 275449, 280518, 282113, 298135, 317390, 303002, 318477, 319103, 324208, 326719, 330795, 307935, 86538, 87477, 239376, 220060, 222383, 225147, 229011, 232686, 236517, 191190, 243906, 196521, 250236, 198601, 199305, 201309, 257241, 58889, 96852, 99797, 103893, 104019, 71953, 74310]
37339	[344675, 349525, 339324, 365019, 354566, 360953, 104189, 111619, 118861, 133392, 137788, 167749, 178780, 182278, 185346, 165286, 166043, 276847, 284203, 288077, 294142, 296479, 329832, 308614, 87071, 242302, 222913, 227340, 249034, 204758, 255957, 90544, 60271, 61256, 96470, 97400, 101232, 72391, 74895]
22955	[344676, 345735, 364612, 115539, 139268, 158171, 161981, 259762, 317012, 334382, 225802]
30310	[344677, 350357, 339091, 364751, 359332, 64528, 112215, 112725, 139643, 129647, 135378, 168816, 157380, 158105, 266020, 288114, 301372, 297634, 307289, 328376, 232854, 236597, 247135, 248718, 200110, 91489, 60279, 92331, 98997]
30560	[344678, 349431, 349754, 366487, 355068, 355581, 63200, 105041, 105893, 107121, 115723, 119074, 135341, 135509, 142117, 142602, 150844, 169357, 173694, 177370, 179608, 186137, 152096, 156493, 160130, 164179, 166934, 258955, 278443, 278809, 261719, 281147, 282976, 283851, 288337, 288769, 301237, 313209, 303141, 303538, 304392, 305253, 306101, 321418, 321637, 323280, 328471, 329692, 329953, 309667, 309848, 334167, 85558, 190537, 236682, 237313, 239970, 240581, 219507, 229409, 246340, 195575, 249145, 250447, 201186, 203383, 205039, 206533, 206970, 214135, 253901, 88889, 89632, 65421, 59565, 60923, 93071, 96224, 96853, 97953, 100104, 100462]
24663	[344679, 144100, 148497, 310392, 228859, 246910, 250445, 90057]
29739	[344680, 265519]
34743	[344681, 279229, 266588, 75855]
16340	[344682, 337808, 342043, 367625, 354420, 369047, 111212, 117184, 117266, 123637, 124882, 125503, 126949, 128750, 134195, 134379, 144935, 179584, 183087, 187859, 157800, 164896, 259952, 267813, 270093, 271307, 284874, 286609, 287620, 301210, 289064, 290410, 323250, 308044, 309900, 310039, 331300, 332873, 82907, 84621, 84910, 216623, 240914, 227866, 229004, 231816, 232658, 250178, 202674, 202697, 204101, 205145, 206153, 206635, 208255, 210526, 250816, 252501, 212940, 252634, 90862, 91716, 91962, 69467, 94145, 98596, 71468]
28084	[344683, 344739, 345966, 350834, 351923, 338337, 340770, 341548, 341885, 342199, 342526, 343160, 363524, 363529, 365412, 367842, 368268, 369042, 357717, 359246, 359526, 360733, 360812, 361176, 361666, 80071, 82318, 64403, 64503, 105243, 107442, 108961, 109741, 110117, 113072, 114212, 120473, 123383, 138310, 138967, 139199, 125046, 126383, 127906, 128984, 129192, 129495, 129693, 131634, 133775, 134080, 135695, 135807, 135884, 135965, 137593, 141460, 142551, 145628, 145685, 147868, 148270, 148446, 149062, 150169, 167808, 168139, 168395, 171675, 175829, 179142, 179323, 179858, 181569, 181831, 181916, 182800, 183848, 184206, 186447, 186768, 186775, 187611, 188271, 154343, 155456, 155563, 157048, 157952, 158422, 158581, 160457, 161980, 162059, 162659, 163295, 163853, 164644, 165000, 165247, 167048, 257798, 258021, 258486, 259027, 276875, 279106, 279223, 279242, 262019, 262623, 263660, 264544, 264751, 265161, 269234, 269596, 270530, 270601, 270764, 273622, 281245, 287534, 287651, 288208, 288864, 300370, 291071, 292386, 293222, 294227, 295882, 296303, 296511, 297515, 289144, 289664, 313264, 316341, 316645, 303174, 304985, 305630, 306272, 306706, 307363, 319378, 319612, 320306, 320644, 322059, 322592, 324064, 324920, 325472, 326283, 327033, 327635, 329277, 329285, 329678, 330568, 307924, 308894, 310996, 312583, 312987, 331726, 332769, 332987, 334559, 335163, 335263, 77577, 82331, 82916, 84214, 84952, 86477, 216113, 188982, 189050, 189093, 189113, 190300, 236715, 237121, 237510, 239223, 220912, 221420, 221614, 222489, 222603, 223600, 225218, 227469, 228017, 229375, 230315, 230842, 236163, 190828, 191842, 246602, 246617, 247222, 193218, 195579, 196810, 197529, 197536, 198177, 198478, 200504, 201491, 202889, 203145, 203377, 204730, 205265, 205584, 205620, 207973, 208362, 208833, 210462, 211259, 212270, 212639, 212939, 213802, 214174, 214321, 252846, 253257, 253614, 254845, 255703, 88746, 89893, 90679, 65102, 68281, 69518, 58395, 59528, 60018, 60595, 60830, 93587, 95275, 97147, 97479, 98122, 98491, 98582, 98626, 99469, 103698, 73033, 73319, 73818, 73965, 74187, 76361]
537	[344684, 347060, 363123, 124509, 126885, 300660, 193928, 204964, 72376]
25890	[344685, 348821, 147040, 171306, 178189, 281826, 326649, 220572]
16495	[344686, 347617, 349076, 351617, 339209, 110915, 113570, 122550, 140198, 134750, 154206, 157774, 257447, 259203, 267157, 271211, 271717, 272157, 273689, 282433, 285494, 306539, 321379, 307954, 83453, 87784, 240288, 242164, 243398, 214050, 95303]
15504	[344687, 349512, 136255]
17254	[344688, 341881, 121690, 131262, 302388, 88309, 216300, 210046]
33551	[344690, 341609, 341948, 366099, 366871, 367157, 353252, 369065, 360049, 360091, 80206, 61904, 114358, 126421, 144809, 146360, 150102, 168842, 169778, 169857, 169863, 170427, 172695, 179692, 184917, 157945, 164150, 164225, 167259, 258098, 258267, 276097, 276186, 277127, 277562, 277907, 278584, 261810, 263774, 266818, 284076, 292574, 292728, 297616, 298786, 290744, 314910, 316407, 303983, 307569, 307713, 326587, 86141, 215960, 189299, 238178, 239197, 220318, 220480, 227485, 233307, 233486, 244595, 245054, 245854, 245901, 247747, 194615, 249193, 198933, 200367, 200769, 204521, 206287, 207378, 209734, 210795, 211594, 211961, 214305, 215624, 252698, 89022, 89305, 57989, 95097, 95713, 97913, 70992, 74016]
40361	[344691, 343206, 111054, 117378, 117463, 121987, 130160, 170762, 160856, 277296, 284384, 288300, 313824, 333772, 84790, 191759, 73614]
